ncdeq_id,id_gee,code,name,area_sq_km,year_cor,lon,lat,type,boundary,wang_id,county,facility_name,combined_owner,regulated_operation,permit_type,regulated_activity,allowable_count,number_of_lagoons,issued_date,effective_date,expiration_date,admin_region,location_lat_num,location_long_num,address_1,address_2,city,state,zip,min_sprayable_acres,max_sprayable_acres
AWS960056,X3306,30202,Neuse,15703.36,1995,-77.88870193,35.49475834,hydrology,HUC6,096_H_031,wayne,B&P Pig Farm,Michael Kirby,Swine,Swine State COC,Swine - Wean to Feeder,3200,1,10/1/14,10/1/14,9/30/19,Washington,35.4961,-77.8883,1651 Antioch Rd,NA,Pikeville,NC,27863,7.314305753424659,15.149082006347294
AWS960057,X3305,NA,WAYNE,1442.581149,1995,-77.89052528,35.49204573,county,county,096_H_031,wayne,C&G Swine,Carl Kirby,Swine,Swine State COC,Swine - Wean to Feeder,3200,1,10/1/14,10/1/14,9/30/19,Washington,35.4922,-77.8894,1583 Antioch Rd,NA,Pikeville,NC,27863,7.314305753424659,15.149082006347294
AWS960057,X3305,30202030503,Upper Nahunta Swamp,55.72,1995,-77.89052528,35.49204573,hydrology,HUC12,096_H_031,wayne,C&G Swine,Carl Kirby,Swine,Swine State COC,Swine - Wean to Feeder,3200,1,10/1/14,10/1/14,9/30/19,Washington,35.4922,-77.8894,1583 Antioch Rd,NA,Pikeville,NC,27863,7.314305753424659,15.149082006347294
AWS960057,X3305,30202,Neuse,15703.36,1995,-77.89052528,35.49204573,hydrology,HUC6,096_H_031,wayne,C&G Swine,Carl Kirby,Swine,Swine State COC,Swine - Wean to Feeder,3200,1,10/1/14,10/1/14,9/30/19,Washington,35.4922,-77.8894,1583 Antioch Rd,NA,Pikeville,NC,27863,7.314305753424659,15.149082006347294
AWS960058,X3308,NA,WAYNE,1442.581149,1995,-77.87362472,35.50058156,county,county,096_H_032,wayne,Brightleaf Farms I & II,Henry Edmundson,Swine,Swine State COC,Swine - Wean to Feeder,6400,2,10/1/14,10/1/14,9/30/19,Washington,35.5022,-77.8744,1770 Antioch Rd,NA,Pikeville,NC,27863,14.628611506849317,30.29816401269459
AWS960058,X3308,30202030503,Upper Nahunta Swamp,55.72,1995,-77.87362472,35.50058156,hydrology,HUC12,096_H_032,wayne,Brightleaf Farms I & II,Henry Edmundson,Swine,Swine State COC,Swine - Wean to Feeder,6400,2,10/1/14,10/1/14,9/30/19,Washington,35.5022,-77.8744,1770 Antioch Rd,NA,Pikeville,NC,27863,14.628611506849317,30.29816401269459
AWS960058,X3307,30202,Neuse,15703.36,1995,-77.87608173,35.50318177,hydrology,HUC6,096_H_032,wayne,Brightleaf Farms I & II,Henry Edmundson,Swine,Swine State COC,Swine - Wean to Feeder,6400,2,10/1/14,10/1/14,9/30/19,Washington,35.5022,-77.8744,1770 Antioch Rd,NA,Pikeville,NC,27863,14.628611506849317,30.29816401269459
AWS960058,X3307,30202030503,Upper Nahunta Swamp,55.72,1995,-77.87608173,35.50318177,hydrology,HUC12,096_H_032,wayne,Brightleaf Farms I & II,Henry Edmundson,Swine,Swine State COC,Swine - Wean to Feeder,6400,2,10/1/14,10/1/14,9/30/19,Washington,35.5022,-77.8744,1770 Antioch Rd,NA,Pikeville,NC,27863,14.628611506849317,30.29816401269459
AWS960058,X3307,NA,WAYNE,1442.581149,1995,-77.87608173,35.50318177,county,county,096_H_032,wayne,Brightleaf Farms I & II,Henry Edmundson,Swine,Swine State COC,Swine - Wean to Feeder,6400,2,10/1/14,10/1/14,9/30/19,Washington,35.5022,-77.8744,1770 Antioch Rd,NA,Pikeville,NC,27863,14.628611506849317,30.29816401269459
AWS960058,X3308,30202,Neuse,15703.36,1995,-77.87362472,35.50058156,hydrology,HUC6,096_H_032,wayne,Brightleaf Farms I & II,Henry Edmundson,Swine,Swine State COC,Swine - Wean to Feeder,6400,2,10/1/14,10/1/14,9/30/19,Washington,35.5022,-77.8744,1770 Antioch Rd,NA,Pikeville,NC,27863,14.628611506849317,30.29816401269459
AWS960060,X3391,NA,WAYNE,1442.581149,1995,-77.89995628,35.29685468,county,county,096_H_300,wayne,Ronnie Lee Dawson Farm,Ronnie Dawson,Swine,Swine State COC,Swine - Wean to Feeder,3200,1,10/1/14,10/1/14,9/30/19,Washington,35.2958,-77.9025,299 St John Church Rd,NA,Goldsboro,NC,27534,7.314305753424659,15.149082006347294
AWS960060,X3391,30202020105,Sleepy Creek-Neuse River,55.67,1995,-77.89995628,35.29685468,hydrology,HUC12,096_H_300,wayne,Ronnie Lee Dawson Farm,Ronnie Dawson,Swine,Swine State COC,Swine - Wean to Feeder,3200,1,10/1/14,10/1/14,9/30/19,Washington,35.2958,-77.9025,299 St John Church Rd,NA,Goldsboro,NC,27534,7.314305753424659,15.149082006347294
AWS960060,X3391,30202,Neuse,15703.36,1995,-77.89995628,35.29685468,hydrology,HUC6,096_H_300,wayne,Ronnie Lee Dawson Farm,Ronnie Dawson,Swine,Swine State COC,Swine - Wean to Feeder,3200,1,10/1/14,10/1/14,9/30/19,Washington,35.2958,-77.9025,299 St John Church Rd,NA,Goldsboro,NC,27534,7.314305753424659,15.149082006347294
AWS960062,X3316,NA,WAYNE,1442.581149,1991,-78.09883194,35.47285675,county,county,096_H_045,wayne,C&G Hog Farm,Calvin Edwards,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.4731,-78.0928,1261 Gurley Dairy Rd,NA,Pikeville,NC,27863,31.949347068493154,66.17214197851072
AWS960062,X3316,30202,Neuse,15703.36,1991,-78.09883194,35.47285675,hydrology,HUC6,096_H_045,wayne,C&G Hog Farm,Calvin Edwards,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.4731,-78.0928,1261 Gurley Dairy Rd,NA,Pikeville,NC,27863,31.949347068493154,66.17214197851072
AWS960062,X3316,30202011603,Dennis Branch-Little River,51.52,1991,-78.09883194,35.47285675,hydrology,HUC12,096_H_045,wayne,C&G Hog Farm,Calvin Edwards,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.4731,-78.0928,1261 Gurley Dairy Rd,NA,Pikeville,NC,27863,31.949347068493154,66.17214197851072
AWS960063,X3353,NA,WAYNE,1442.581149,1990,-78.2248204,35.3136682,county,county,096_H_160,wayne,Grantham Farms 2,Robert Grantham,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.3133,-78.2244,856 Dobbersville Rd,NA,Goldsboro,NC,27530,31.949347068493154,66.17214197851072
