year,county,hay_yield_tons_acre,bermudagrass_yield_tons_acre,rye_yield_bu_acre,fescue_yield_tons_acre,soybean_yield_bu_acre,corn_silage_yield_measured_in_tons_acre,wheat_yield_measured_in_bu_acre,at_dep
2018,halifax,NA,5.25,55,3.5,40.6,NA,NA,NA
2017,halifax,NA,5.25,55,3.5,42,NA,NA,NA
2016,halifax,NA,5.25,55,3.5,37,NA,NA,NA
2015,halifax,NA,5.25,55,3.5,35,NA,NA,NA
2014,halifax,NA,5.25,55,3.5,NA,NA,NA,NA
2013,halifax,NA,5.25,55,3.5,35.2,NA,NA,NA
2012,halifax,NA,5.25,55,3.5,37.2,NA,NA,NA
2011,halifax,NA,5.25,55,3.5,36,NA,NA,NA
2010,halifax,NA,5.25,55,3.5,22.5,NA,NA,NA
2009,halifax,NA,5.25,55,3.5,33.5,NA,NA,NA
2008,halifax,1.75,5.25,55,3.5,32.5,NA,NA,NA
2007,halifax,2,5.25,55,3.5,25,17,33,NA
2006,halifax,1.87,5.25,55,3.5,30,NA,NA,NA
2005,halifax,1.8,5.25,55,3.5,26,NA,NA,NA
2004,halifax,1.75,5.25,55,3.5,38,NA,NA,NA
2003,halifax,2.03,5.25,55,3.5,35,11,27,NA
2002,halifax,2.17,5.25,55,3.5,28,10,39,NA
2001,halifax,1.23,5.25,55,3.5,31,6,36,NA
2000,halifax,1.77,5.25,55,3.5,33,12,40,NA
1999,halifax,1.72,5.25,55,3.5,22,12,40,NA
1998,halifax,1.51,5.25,55,3.5,26,7,42,NA
1997,halifax,1.18,5.25,55,3.5,27,10,46,NA
1996,halifax,1.83,5.25,55,3.5,29,20,59,NA
1995,halifax,2.24,5.25,55,3.5,23,20,51,NA
1994,halifax,1.27,5.25,55,3.5,30,17,43,NA
1993,halifax,1.04,5.25,55,3.5,21,12,36,NA
1992,halifax,1.81,5.25,55,3.5,26,17,46,NA
1991,halifax,1.61,5.25,55,3.5,28,17,34,NA
1990,halifax,2,5.25,55,3.5,24,NA,NA,NA
1989,halifax,2.4,5.25,55,3.5,25,NA,NA,NA
1988,halifax,1.4,5.25,55,3.5,25,NA,NA,NA
1987,halifax,1.4,5.25,55,3.5,24,NA,NA,NA
1986,halifax,1.8,5.25,55,3.5,25,NA,NA,NA
1985,halifax,1.6,5.25,55,3.5,23,NA,NA,NA
1984,halifax,1.7,5.25,55,3.5,26,NA,NA,NA
2020,harnett,NA,4.2,57,4.5,30.7,NA,NA,NA
2019,harnett,NA,4.2,57,4.5,32.5,NA,NA,NA
2018,harnett,NA,4.2,57,4.5,27.8,NA,NA,NA
2017,harnett,NA,4.2,57,4.5,31.9,NA,NA,NA
2016,harnett,NA,4.2,57,4.5,30.5,NA,NA,NA
2015,harnett,NA,4.2,57,4.5,26.6,NA,NA,NA
2014,harnett,NA,4.2,57,4.5,33.8,NA,NA,NA
2013,harnett,NA,4.2,57,4.5,25,NA,NA,NA
2012,harnett,NA,4.2,57,4.5,33.6,NA,NA,NA
2011,harnett,NA,4.2,57,4.5,23.3,NA,NA,NA
2010,harnett,NA,4.2,57,4.5,20.2,NA,NA,NA
2009,harnett,NA,4.2,57,4.5,30,NA,NA,NA
2008,harnett,2.15,4.2,57,4.5,33.5,NA,NA,NA
2007,harnett,1.84,4.2,57,4.5,13,NA,NA,NA
2006,harnett,2.85,4.2,57,4.5,27,NA,NA,NA
2005,harnett,2.81,4.2,57,4.5,14,NA,NA,NA
2004,harnett,3.11,4.2,57,4.5,29,NA,NA,NA
2003,harnett,3.13,4.2,57,4.5,29,NA,NA,NA
2002,harnett,1.78,4.2,57,4.5,17,NA,NA,NA
2001,harnett,3.02,4.2,57,4.5,30,14,40,NA
2000,harnett,3.18,4.2,57,4.5,29,15,47,NA
1999,harnett,2.59,4.2,57,4.5,23,7,45,NA
1998,harnett,2.58,4.2,57,4.5,23,7,40,NA
1997,harnett,2.12,4.2,57,4.5,24,13,45,NA
1996,harnett,2.95,4.2,57,4.5,27,10,44,NA
1995,harnett,3.36,4.2,57,4.5,18,8,33,NA
1994,harnett,2.73,4.2,57,4.5,28,21,49,NA
1993,harnett,2.36,4.2,57,4.5,21,6,38,NA
1992,harnett,3.81,4.2,57,4.5,21,12,48,NA
1991,harnett,2.9,4.2,57,4.5,28,13,39,NA
1990,harnett,2.39,4.2,57,4.5,17,NA,NA,NA
1989,harnett,2.5,4.2,57,4.5,24,NA,NA,NA
1988,harnett,2.5,4.2,57,4.5,23,NA,NA,NA
1987,harnett,2.5,4.2,57,4.5,20,NA,NA,NA
1986,harnett,2.2,4.2,57,4.5,19,NA,NA,NA
1985,harnett,2.3,4.2,57,4.5,16,NA,NA,NA
1984,harnett,2.2,4.2,57,4.5,24,NA,NA,NA
2020,hertford,NA,5.25,50,3.5,38.4,NA,NA,NA
2019,hertford,NA,5.25,50,3.5,36,NA,NA,NA
2018,hertford,NA,5.25,50,3.5,NA,NA,NA,NA
2017,hertford,NA,5.25,50,3.5,NA,NA,NA,NA
2016,hertford,NA,5.25,50,3.5,NA,NA,NA,NA
2015,hertford,NA,5.25,50,3.5,30.3,NA,NA,NA
2014,hertford,NA,5.25,50,3.5,45.7,NA,NA,NA
2013,hertford,NA,5.25,50,3.5,34.1,NA,NA,NA
2012,hertford,NA,5.25,50,3.5,43,NA,NA,NA
2011,hertford,NA,5.25,50,3.5,34,NA,NA,NA
2010,hertford,NA,5.25,50,3.5,21.1,NA,NA,NA
2009,hertford,NA,5.25,50,3.5,37.5,NA,NA,NA
2008,hertford,NA,5.25,50,3.5,29.5,NA,NA,NA
2007,hertford,NA,5.25,50,3.5,20,NA,NA,NA
2006,hertford,NA,5.25,50,3.5,31,NA,NA,NA
2005,hertford,2,5.25,50,3.5,25,NA,NA,NA
2004,hertford,2,5.25,50,3.5,35,NA,NA,NA
2003,hertford,2.28,5.25,50,3.5,32,NA,NA,NA
2002,hertford,2.5,5.25,50,3.5,23,NA,NA,NA
2001,hertford,1.17,5.25,50,3.5,31,NA,NA,NA
2000,hertford,1.83,5.25,50,3.5,32,NA,NA,NA
1999,hertford,1.83,5.25,50,3.5,24,NA,NA,NA
1998,hertford,1.8,5.25,50,3.5,32,NA,NA,NA
1997,hertford,1.6,5.25,50,3.5,31,NA,NA,NA
1996,hertford,2,5.25,50,3.5,32,NA,NA,NA
1995,hertford,2,5.25,50,3.5,26,NA,NA,NA
1994,hertford,1.6,5.25,50,3.5,29,NA,NA,NA
1993,hertford,1.5,5.25,50,3.5,23,NA,NA,NA
1992,hertford,2,5.25,50,3.5,32,NA,NA,NA
1991,hertford,2,5.25,50,3.5,30,NA,NA,NA
1990,hertford,2,5.25,50,3.5,25,NA,NA,NA
1989,hertford,2.5,5.25,50,3.5,29,NA,NA,NA
1988,hertford,1,5.25,50,3.5,27,NA,NA,NA
1987,hertford,1,5.25,50,3.5,23,NA,NA,NA
1986,hertford,1,5.25,50,3.5,27,NA,NA,NA
1985,hertford,2,5.25,50,3.5,20,NA,NA,NA
1984,hertford,1.5,5.25,50,3.5,32,NA,NA,NA
2020,hoke,NA,4,35,2,29.9,NA,NA,NA
2019,hoke,NA,4,35,2,NA,NA,NA,NA
2018,hoke,NA,4,35,2,NA,NA,NA,NA
2017,hoke,NA,4,35,2,NA,NA,NA,NA
2016,hoke,NA,4,35,2,NA,NA,NA,NA
2015,hoke,NA,4,35,2,NA,NA,NA,NA
2014,hoke,NA,4,35,2,35.7,NA,NA,NA
2013,hoke,NA,4,35,2,NA,NA,NA,NA
2012,hoke,NA,4,35,2,38,NA,NA,NA
2011,hoke,NA,4,35,2,32.2,NA,NA,NA
2010,hoke,NA,4,35,2,20.5,NA,NA,NA
2009,hoke,NA,4,35,2,27.5,NA,NA,NA
2008,hoke,3,4,35,2,39,NA,NA,NA
2007,hoke,1.3,4,35,2,11,NA,NA,NA
2006,hoke,4.5,4,35,2,29,NA,NA,NA
2005,hoke,4.21,4,35,2,21,NA,NA,NA
2004,hoke,3.53,4,35,2,31,NA,NA,NA
2003,hoke,3.43,4,35,2,30,NA,NA,NA
2002,hoke,2.26,4,35,2,17,NA,NA,NA
2001,hoke,3.04,4,35,2,25,NA,NA,NA
2000,hoke,1.91,4,35,2,24,NA,NA,NA
1999,hoke,2.43,4,35,2,24,NA,NA,NA
1998,hoke,2.48,4,35,2,20,NA,NA,NA
1997,hoke,3,4,35,2,23,NA,NA,NA
1996,hoke,2.91,4,35,2,26,NA,NA,NA
1995,hoke,2.95,4,35,2,21,NA,NA,NA
1994,hoke,2.81,4,35,2,27,NA,NA,NA
1993,hoke,1.95,4,35,2,18,NA,NA,NA
1992,hoke,3,4,35,2,24,NA,NA,NA
1991,hoke,2.79,4,35,2,26,NA,NA,NA
1990,hoke,2.11,4,35,2,17,NA,NA,NA
1989,hoke,2.8,4,35,2,23,NA,NA,NA
1988,hoke,2.5,4,35,2,26,NA,NA,NA
1987,hoke,2.6,4,35,2,25,NA,NA,NA
1986,hoke,2.2,4,35,2,24,NA,NA,NA
1985,hoke,2.3,4,35,2,17,NA,NA,NA
1984,hoke,2.4,4,35,2,28,NA,NA,NA
2020,johnston,NA,5.25,60,4,32.3,NA,NA,NA
2019,johnston,NA,5.25,60,4,30,NA,NA,NA
2018,johnston,NA,5.25,60,4,29,NA,NA,NA
2017,johnston,NA,5.25,60,4,34.2,NA,NA,NA
2016,johnston,NA,5.25,60,4,30.9,NA,NA,NA
2015,johnston,NA,5.25,60,4,24.6,NA,NA,NA
2014,johnston,NA,5.25,60,4,36.8,NA,NA,NA
2013,johnston,NA,5.25,60,4,28.8,NA,NA,NA
2012,johnston,NA,5.25,60,4,34.2,NA,NA,NA
2011,johnston,NA,5.25,60,4,28.2,NA,NA,NA
2010,johnston,NA,5.25,60,4,21.5,NA,NA,NA
2009,johnston,NA,5.25,60,4,31.5,NA,NA,NA
2008,johnston,2.55,5.25,60,4,31.5,NA,NA,NA
2007,johnston,1.89,5.25,60,4,14,NA,NA,NA
2006,johnston,2.86,5.25,60,4,30,NA,NA,NA
2005,johnston,3.35,5.25,60,4,20,NA,NA,NA
2004,johnston,3.05,5.25,60,4,32,NA,NA,NA
2003,johnston,3.24,5.25,60,4,29,NA,NA,NA
2002,johnston,1.88,5.25,60,4,18,NA,NA,NA
2001,johnston,3.03,5.25,60,4,31,NA,NA,NA
2000,johnston,3.47,5.25,60,4,35,NA,NA,NA
1999,johnston,2.07,5.25,60,4,19,NA,NA,NA
1998,johnston,1.96,5.25,60,4,23,NA,NA,NA
1997,johnston,2.43,5.25,60,4,27,12,50,NA
1996,johnston,2.81,5.25,60,4,27,NA,NA,NA
1995,johnston,3.16,5.25,60,4,16,NA,NA,NA
1994,johnston,3.18,5.25,60,4,31,NA,NA,NA
1993,johnston,2.28,5.25,60,4,21,NA,NA,NA
1992,johnston,3.71,5.25,60,4,25,20,50,NA
1991,johnston,2.81,5.25,60,4,28,18,43,NA
1990,johnston,2.31,5.25,60,4,20,NA,NA,NA
1989,johnston,2.5,5.25,60,4,25,NA,NA,NA
1988,johnston,1.9,5.25,60,4,25,NA,NA,NA
1987,johnston,1.8,5.25,60,4,20,NA,NA,NA
1986,johnston,1.4,5.25,60,4,20,NA,NA,NA
1985,johnston,2,5.25,60,4,19,NA,NA,NA
1984,johnston,1.9,5.25,60,4,26,NA,NA,NA
2020,jones,NA,3.5,45,3.4,31.1,NA,NA,NA
2019,jones,NA,3.5,45,3.4,33.5,NA,NA,NA
2018,jones,NA,3.5,45,3.4,NA,NA,NA,NA
2017,jones,NA,3.5,45,3.4,NA,NA,NA,NA
2016,jones,NA,3.5,45,3.4,NA,NA,NA,NA
2015,jones,NA,3.5,45,3.4,37.2,NA,NA,NA
2014,jones,NA,3.5,45,3.4,39.9,NA,NA,NA
2013,jones,NA,3.5,45,3.4,37.8,NA,NA,NA
2012,jones,NA,3.5,45,3.4,37.9,NA,NA,NA
2011,jones,NA,3.5,45,3.4,25,NA,NA,NA
2010,jones,NA,3.5,45,3.4,27.7,NA,NA,NA
2009,jones,NA,3.5,45,3.4,37,NA,NA,NA
2008,jones,2.6,3.5,45,3.4,35,NA,NA,NA
2007,jones,2.55,3.5,45,3.4,27,NA,NA,NA
2006,jones,2.75,3.5,45,3.4,28,NA,NA,NA
2005,jones,3,3.5,45,3.4,23,NA,NA,NA
2004,jones,2.67,3.5,45,3.4,30,NA,NA,NA
2003,jones,2.38,3.5,45,3.4,25,NA,NA,NA
2002,jones,2.27,3.5,45,3.4,26,NA,NA,NA
2001,jones,3.21,3.5,45,3.4,34,NA,NA,NA
2000,jones,3.29,3.5,45,3.4,30,NA,NA,NA
1999,jones,2.14,3.5,45,3.4,18,NA,NA,NA
1998,jones,2.07,3.5,45,3.4,25,NA,NA,NA
1997,jones,2.14,3.5,45,3.4,29,NA,NA,NA
1996,jones,2.07,3.5,45,3.4,25,NA,NA,NA
1995,jones,2,3.5,45,3.4,17,NA,NA,NA
1994,jones,2,3.5,45,3.4,23,NA,NA,NA
1993,jones,2,3.5,45,3.4,21,NA,NA,NA
1992,jones,2,3.5,45,3.4,26,NA,NA,NA
1991,jones,2,3.5,45,3.4,27,NA,NA,NA
1990,jones,2,3.5,45,3.4,23,NA,NA,NA
1989,jones,2.7,3.5,45,3.4,26,NA,NA,NA
1988,jones,2,3.5,45,3.4,25,NA,NA,NA
1987,jones,1.7,3.5,45,3.4,27,NA,NA,NA
1986,jones,2,3.5,45,3.4,25,NA,NA,NA
1985,jones,2,3.5,45,3.4,24,NA,NA,NA
1984,jones,2,3.5,45,3.4,28,NA,NA,NA
2020,lee,NA,4.2,57,4.8,30.6,NA,NA,NA
2019,lee,NA,4.2,57,4.8,22,NA,NA,NA
2018,lee,NA,4.2,57,4.8,NA,NA,NA,NA
2017,lee,NA,4.2,57,4.8,NA,NA,NA,NA
2016,lee,NA,4.2,57,4.8,25.5,NA,NA,NA
2015,lee,NA,4.2,57,4.8,17.6,NA,NA,NA
2014,lee,NA,4.2,57,4.8,37.1,NA,NA,NA
2013,lee,NA,4.2,57,4.8,24,NA,NA,NA
2012,lee,NA,4.2,57,4.8,29,NA,NA,NA
2011,lee,NA,4.2,57,4.8,24,NA,NA,NA
2010,lee,NA,4.2,57,4.8,11.5,NA,NA,NA
2009,lee,NA,4.2,57,4.8,32,NA,NA,NA
2008,lee,1.95,4.2,57,4.8,30,NA,NA,NA
2007,lee,1.44,4.2,57,4.8,8,NA,NA,NA
2006,lee,2.4,4.2,57,4.8,31,NA,NA,NA
2005,lee,2.61,4.2,57,4.8,19,NA,NA,NA
2004,lee,2.35,4.2,57,4.8,27,NA,NA,NA
2003,lee,2.42,4.2,57,4.8,26,NA,NA,NA
2002,lee,1.7,4.2,57,4.8,20,NA,NA,NA
2001,lee,2.55,4.2,57,4.8,26,NA,NA,NA
2000,lee,2.18,4.2,57,4.8,28,NA,NA,NA
1999,lee,2.18,4.2,57,4.8,22,NA,NA,NA
1998,lee,2.14,4.2,57,4.8,18,NA,NA,NA
1997,lee,2.05,4.2,57,4.8,23,NA,NA,NA
1996,lee,2.05,4.2,57,4.8,29,NA,NA,NA
1995,lee,2.32,4.2,57,4.8,19,NA,NA,NA
1994,lee,2.32,4.2,57,4.8,30,NA,NA,NA
1993,lee,1.58,4.2,57,4.8,16,NA,NA,NA
1992,lee,2.71,4.2,57,4.8,18,NA,NA,NA
1991,lee,2.52,4.2,57,4.8,24,NA,NA,NA
1990,lee,1.8,4.2,57,4.8,15,NA,NA,NA
1989,lee,2.1,4.2,57,4.8,23,NA,NA,NA
1988,lee,2.1,4.2,57,4.8,22,NA,NA,NA
1987,lee,1.6,4.2,57,4.8,18,NA,NA,NA
1986,lee,1.3,4.2,57,4.8,17,NA,NA,NA
1985,lee,1.7,4.2,57,4.8,18,NA,NA,NA
1984,lee,1.7,4.2,57,4.8,17,NA,NA,NA
2020,lenoir,NA,4.65,59,3.4,34.7,NA,NA,NA
2019,lenoir,NA,4.65,59,3.4,36,NA,NA,NA
2018,lenoir,NA,4.65,59,3.4,27.6,NA,NA,NA
2017,lenoir,NA,4.65,59,3.4,39.8,NA,NA,NA
2016,lenoir,NA,4.65,59,3.4,37.3,NA,NA,NA
2015,lenoir,NA,4.65,59,3.4,34.8,NA,NA,NA
2014,lenoir,NA,4.65,59,3.4,36.5,NA,NA,NA
2013,lenoir,NA,4.65,59,3.4,31.2,NA,NA,NA
2012,lenoir,NA,4.65,59,3.4,37.8,NA,NA,NA
2011,lenoir,NA,4.65,59,3.4,26,NA,NA,NA
2010,lenoir,NA,4.65,59,3.4,24.6,NA,NA,NA
2009,lenoir,NA,4.65,59,3.4,34.5,NA,NA,NA
2008,lenoir,3.1,4.65,59,3.4,29.5,NA,NA,NA
2007,lenoir,2.57,4.65,59,3.4,25,NA,NA,NA
2006,lenoir,3.19,4.65,59,3.4,32,NA,NA,NA
2005,lenoir,3.16,4.65,59,3.4,27,NA,NA,NA
2004,lenoir,2.96,4.65,59,3.4,33,NA,NA,NA
2003,lenoir,2.77,4.65,59,3.4,27,NA,NA,NA
2002,lenoir,2.39,4.65,59,3.4,20,NA,NA,NA
2001,lenoir,3.04,4.65,59,3.4,31,NA,NA,NA
2000,lenoir,3.45,4.65,59,3.4,36,NA,NA,NA
1999,lenoir,2.36,4.65,59,3.4,21,15,43,NA
1998,lenoir,2,4.65,59,3.4,24,9,40,NA
1997,lenoir,2.36,4.65,59,3.4,27,15,50,NA
1996,lenoir,2.48,4.65,59,3.4,26,10,40,NA
1995,lenoir,2.95,4.65,59,3.4,20,21,38,NA
1994,lenoir,2.69,4.65,59,3.4,24,20,43,NA
1993,lenoir,2,4.65,59,3.4,22,13,46,NA
1992,lenoir,3,4.65,59,3.4,26,12,56,NA
1991,lenoir,2.5,4.65,59,3.4,28,13,39,NA
1990,lenoir,2.59,4.65,59,3.4,22,NA,NA,NA
1989,lenoir,2.5,4.65,59,3.4,28,NA,NA,NA
1988,lenoir,3,4.65,59,3.4,27,NA,NA,NA
1987,lenoir,2.3,4.65,59,3.4,24,NA,NA,NA
1986,lenoir,2.9,4.65,59,3.4,24,NA,NA,NA
1985,lenoir,1.8,4.65,59,3.4,22,NA,NA,NA
1984,lenoir,1.8,4.65,59,3.4,28,NA,NA,NA
2020,martin,NA,4.75,60,3.5,35.9,NA,NA,NA
2019,martin,NA,4.75,60,3.5,39,NA,NA,NA
2018,martin,NA,4.75,60,3.5,35.9,NA,NA,NA
2017,martin,NA,4.75,60,3.5,40.4,NA,NA,NA
2016,martin,NA,4.75,60,3.5,35.2,NA,NA,NA
2015,martin,NA,4.75,60,3.5,30,NA,NA,NA
2014,martin,NA,4.75,60,3.5,38.7,NA,NA,NA
2013,martin,NA,4.75,60,3.5,36.8,NA,NA,NA
2012,martin,NA,4.75,60,3.5,NA,NA,NA,NA
2011,martin,NA,4.75,60,3.5,NA,NA,NA,NA
2010,martin,NA,4.75,60,3.5,25,NA,NA,NA
2009,martin,NA,4.75,60,3.5,36,NA,NA,NA
2008,martin,1.8,4.75,60,3.5,31.5,NA,NA,NA
2007,martin,1.4,4.75,60,3.5,24,NA,NA,NA
2006,martin,1.68,4.75,60,3.5,31,NA,NA,NA
2005,martin,1.8,4.75,60,3.5,28,NA,NA,NA
2004,martin,2.18,4.75,60,3.5,37,NA,NA,NA
2003,martin,2.46,4.75,60,3.5,31,NA,NA,NA
2002,martin,2,4.75,60,3.5,24,NA,NA,NA
2001,martin,1.33,4.75,60,3.5,33,NA,NA,NA
2000,martin,1.74,4.75,60,3.5,31,NA,NA,NA
1999,martin,1.55,4.75,60,3.5,20,NA,NA,NA
1998,martin,1.5,4.75,60,3.5,29,NA,NA,NA
1997,martin,1,4.75,60,3.5,29,NA,NA,NA
1996,martin,1.5,4.75,60,3.5,30,NA,NA,NA
1995,martin,1.89,4.75,60,3.5,21,NA,NA,NA
1994,martin,1.33,4.75,60,3.5,28,NA,NA,NA
1993,martin,1.2,4.75,60,3.5,23,NA,NA,NA
1992,martin,1.4,4.75,60,3.5,30,NA,NA,NA
1991,martin,1.52,4.75,60,3.5,28,NA,NA,NA
1990,martin,1.8,4.75,60,3.5,24,NA,NA,NA
1989,martin,1.5,4.75,60,3.5,28,NA,NA,NA
1988,martin,1.5,4.75,60,3.5,28,NA,NA,NA
1987,martin,1.4,4.75,60,3.5,28,NA,NA,NA
1986,martin,1.1,4.75,60,3.5,29,NA,NA,NA
1985,martin,1.5,4.75,60,3.5,25,NA,NA,NA
1984,martin,1.6,4.75,60,3.5,31,NA,NA,NA
2020,montgomery,NA,5.65,54,3.9,NA,NA,NA,NA
2019,montgomery,NA,5.65,54,3.9,NA,NA,NA,NA
2018,montgomery,NA,5.65,54,3.9,NA,NA,NA,NA
2017,montgomery,NA,5.65,54,3.9,NA,NA,NA,NA
2016,montgomery,NA,5.65,54,3.9,NA,NA,NA,NA
2015,montgomery,NA,5.65,54,3.9,31.9,NA,NA,8.918
2014,montgomery,NA,5.65,54,3.9,NA,NA,NA,NA
2013,montgomery,NA,5.65,54,3.9,30.6,NA,NA,8.64
2012,montgomery,NA,5.65,54,3.9,32.7,NA,NA,10.166
2011,montgomery,NA,5.65,54,3.9,NA,NA,NA,NA
2010,montgomery,NA,5.65,54,3.9,NA,NA,NA,NA
2009,montgomery,NA,5.65,54,3.9,32,NA,NA,9.756
2008,montgomery,2.2,5.65,54,3.9,NA,NA,NA,9.883
2007,montgomery,2.15,5.65,54,3.9,15,NA,NA,9.85
2006,montgomery,2.95,5.65,54,3.9,37,NA,NA,11.146
2005,montgomery,2.53,5.65,54,3.9,30,NA,NA,12.76
2004,montgomery,2.56,5.65,54,3.9,33,NA,NA,11.262
2003,montgomery,2.54,5.65,54,3.9,33,NA,NA,13.51
2002,montgomery,1.7,5.65,54,3.9,18,NA,NA,12.991
2001,montgomery,1.89,5.65,54,3.9,31,NA,NA,11.541
2000,montgomery,2.42,5.65,54,3.9,30,NA,NA,12.686
1999,montgomery,2.53,5.65,54,3.9,25,NA,NA,NA
1998,montgomery,2.51,5.65,54,3.9,25,NA,NA,NA
1997,montgomery,1.97,5.65,54,3.9,28,NA,NA,NA
1996,montgomery,1.89,5.65,54,3.9,33,NA,NA,NA
1995,montgomery,2.1,5.65,54,3.9,29,30,36,NA
1994,montgomery,2,5.65,54,3.9,36,17,49,NA
1993,montgomery,1.41,5.65,54,3.9,21,5,36,NA
1992,montgomery,2.19,5.65,54,3.9,26,11,45,NA
1991,montgomery,1.79,5.65,54,3.9,32,18,21,NA
1990,montgomery,1.81,5.65,54,3.9,16,NA,NA,NA
1989,montgomery,2.2,5.65,54,3.9,31,NA,NA,NA
1988,montgomery,1.9,5.65,54,3.9,24,NA,NA,NA
1987,montgomery,1.4,5.65,54,3.9,23,NA,NA,NA
1986,montgomery,1.9,5.65,54,3.9,23,NA,NA,NA
1985,montgomery,2,5.65,54,3.9,21,NA,NA,NA
1984,montgomery,1.8,5.65,54,3.9,23,NA,NA,NA
2020,moore,NA,2.95,39,3.4,29.2,NA,NA,NA
2019,moore,NA,2.95,39,3.4,32,NA,NA,NA
2018,moore,NA,2.95,39,3.4,23.5,NA,NA,NA
2017,moore,NA,2.95,39,3.4,23.8,NA,NA,NA
2016,moore,NA,2.95,39,3.4,NA,NA,NA,NA
2015,moore,NA,2.95,39,3.4,24,NA,NA,NA
2014,moore,NA,2.95,39,3.4,32.9,NA,NA,NA
2013,moore,NA,2.95,39,3.4,20.5,NA,NA,NA
2012,moore,NA,2.95,39,3.4,38.9,NA,NA,NA
2011,moore,NA,2.95,39,3.4,23.9,NA,NA,NA
2010,moore,NA,2.95,39,3.4,17.1,NA,NA,NA
2009,moore,NA,2.95,39,3.4,24,NA,NA,NA
2008,moore,2.45,2.95,39,3.4,28.5,NA,NA,NA
2007,moore,1.55,2.95,39,3.4,13,NA,NA,NA
2006,moore,2.6,2.95,39,3.4,29,NA,NA,NA
2005,moore,2.54,2.95,39,3.4,20,NA,NA,NA
2004,moore,2.54,2.95,39,3.4,33,NA,NA,NA
2003,moore,2.52,2.95,39,3.4,31,NA,NA,NA
2002,moore,1.87,2.95,39,3.4,17,NA,NA,NA
2001,moore,2.2,2.95,39,3.4,33,NA,NA,NA
2000,moore,2.82,2.95,39,3.4,28,NA,NA,NA
1999,moore,2.44,2.95,39,3.4,28,NA,NA,NA
1998,moore,2.51,2.95,39,3.4,22,NA,NA,NA
1997,moore,2.23,2.95,39,3.4,25,NA,NA,NA
1996,moore,2.04,2.95,39,3.4,33,NA,NA,NA
1995,moore,2.39,2.95,39,3.4,19,NA,NA,NA
1994,moore,2.46,2.95,39,3.4,31,NA,NA,NA
1993,moore,1.97,2.95,39,3.4,17,NA,NA,NA
1992,moore,3.09,2.95,39,3.4,19,NA,NA,NA
1991,moore,2.81,2.95,39,3.4,26,NA,NA,NA
1990,moore,2.5,2.95,39,3.4,15,NA,NA,NA
1989,moore,2.3,2.95,39,3.4,29,NA,NA,NA
1988,moore,2.1,2.95,39,3.4,23,NA,NA,NA
1987,moore,1.9,2.95,39,3.4,20,NA,NA,NA
1986,moore,1.9,2.95,39,3.4,20,NA,NA,NA
1985,moore,2,2.95,39,3.4,22,NA,NA,NA
1984,moore,2,2.95,39,3.4,19,NA,NA,NA
2020,nash,NA,5.75,65,4,34.8,NA,NA,NA
2019,nash,NA,5.75,65,4,29,NA,NA,NA
2018,nash,NA,5.75,65,4,32.8,NA,NA,NA
2017,nash,NA,5.75,65,4,36.5,NA,NA,NA
2016,nash,NA,5.75,65,4,26.1,NA,NA,NA
2015,nash,NA,5.75,65,4,23.5,NA,NA,NA
2014,nash,NA,5.75,65,4,36.8,NA,NA,NA
2013,nash,NA,5.75,65,4,31.3,NA,NA,NA
2012,nash,NA,5.75,65,4,38.5,NA,NA,NA
2011,nash,NA,5.75,65,4,32,NA,NA,NA
2010,nash,NA,5.75,65,4,17,NA,NA,NA
2009,nash,NA,5.75,65,4,27.5,NA,NA,NA
2008,nash,2.5,5.75,65,4,28.5,NA,NA,NA
2007,nash,1.44,5.75,65,4,13,NA,NA,NA
2006,nash,2.56,5.75,65,4,27,NA,NA,NA
2005,nash,2.19,5.75,65,4,18,NA,NA,NA
2004,nash,2.5,5.75,65,4,29,NA,NA,NA
2003,nash,2.94,5.75,65,4,30,NA,NA,NA
2002,nash,2.49,5.75,65,4,17,NA,NA,NA
2001,nash,2.04,5.75,65,4,29,NA,NA,NA
2000,nash,2.81,5.75,65,4,31,NA,NA,NA
1999,nash,2.41,5.75,65,4,25,NA,NA,NA
1998,nash,2.1,5.75,65,4,24,11,41,NA
1997,nash,2.42,5.75,65,4,27,NA,NA,NA
1996,nash,2.59,5.75,65,4,25,NA,NA,NA
1995,nash,2.81,5.75,65,4,20,NA,NA,NA
1994,nash,2.14,5.75,65,4,27,NA,NA,NA
1993,nash,1.13,5.75,65,4,20,NA,NA,NA
1992,nash,2.39,5.75,65,4,24,17,43,NA
1991,nash,2,5.75,65,4,25,14,38,NA
1990,nash,1.79,5.75,65,4,25,NA,NA,NA
1989,nash,2.1,5.75,65,4,23,NA,NA,NA
1988,nash,1.7,5.75,65,4,27,NA,NA,NA
1987,nash,1.9,5.75,65,4,21,NA,NA,NA
1986,nash,1.1,5.75,65,4,22,NA,NA,NA
1985,nash,1.7,5.75,65,4,21,NA,NA,NA
1984,nash,1.7,5.75,65,4,27,NA,NA,NA
2020,northampton,NA,5.25,50,3.5,38.5,NA,NA,NA
2019,northampton,NA,5.25,50,3.5,34,NA,NA,NA
2018,northampton,NA,5.25,50,3.5,NA,NA,NA,NA
2017,northampton,NA,5.25,50,3.5,42,NA,NA,NA
2016,northampton,NA,5.25,50,3.5,35,NA,NA,NA
2015,northampton,NA,5.25,50,3.5,30.9,NA,NA,NA
2014,northampton,NA,5.25,50,3.5,42,NA,NA,NA
