phase,manure_produced_min,manure_produced_max,manure_n_content_min,manure_n_content_max
Swine - Feeder to Finish,927,927,3.6,3.6
Swine - Wean to Feeder,191,191,31.2,80.3
Swine - Farrow to Finish,10478,10478,20.7,104.3
Swine - Farrow to Wean,3203,3203,31.2,80.3
Swine - Gilts,NA,NA,NA,NA
Swine State COC,NA,NA,NA,NA
Swine NPDES COC,NA,NA,NA,NA
