phase,manure_produced_gal_yr,manure_n_g_avg
Swine - Feeder to Finish,927,3.6
Swine - Wean to Feeder,191,3.6
Swine - Farrow to Finish,10478,3.6
Swine - Wean to Finish,776,3.6
Swine - Farrow to Wean,3203,2.4
Swine - Gilts,NA,NA
Swine - Boar/Stud,5475,3.6
Swine - Other ,NA,NA
Swine - Farrow to Feeder,3861,3.6
